"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"ECB_00610","0.829566","0.182455","0.263128","7.999947","8.00007","27.029038","185.382942"
"ECB_00611","0.962008","0.231941","0.519379","6.366337","9.347281","48.298899","143.965991"
"ECB_00615","0.106526","0.094302","0.433919","21.700945","29.565878","29.56589","167.379752"
"ECB_00617","0.708268","0.099889","0.533784","8.000021","23.858287","23.999976","158.588171"
"ECB_00620","0.26244","0.406027","0.890861","7.999879","7.999894","40.943943","168.628909"
"ECB_00621","0.570074","7e-06","0.112802","20.35355","20.35362","34.558328","140.181806"
"ECB_00622","0.549069","0.005867","0.11743","2.04062","23.999817","31.509089","156.313449"
"ECB_00623","0.537526","0.153122","0.267124","8.010191","8.010237","34.703875","145.935105"
"ECB_00627","0.554181","0.159536","0.46097","8.02391","8.023953","40.149625","158.286515"
"ECB_00628","0.137399","0.809519","0.330965","7.144622","12.227741","12.278913","234.550931"
"ECB_00629","0.817431","0.385739","0.447763","6.007489","7.844198","7.942487","152.353964"
"ECB_00630","0.046958","0.326783","0.378446","6.406465","15.075447","31.020479","163.7295"
"ECB_00631","0.721698","0.081852","0.069246","4.999993","7.916656","43.790821","43.79204"
"ECB_00634","0.927062","0.196892","0.412243","10.943634","21.693139","23.753489","209.420432"
"ECB_00636","0.283929","0.665113","0.416488","3.498089","7.852594","7.896982","177.444882"
"ECB_00640","0.277193","0.554326","0.747741","6.013172","9.141752","50.888043","151.802794"
"ECB_00641","0.989555","0.13712","0.237199","0.864485","12.55856","81.414459","181.80315"
"ECB_00643","0.742929","0.067943","0.973324","2.1e-05","11.944546","11.944554","208.612389"
"ECB_00644","0.961579","0.148831","0.569721","3.182979","14.436","48.01406","189.138801"
"ECB_00645","0.726327","0.11005","0.337016","4.995464","23.242528","23.278963","165.006951"
"ECB_00650","8e-06","3e-05","0.808253","2.192262","12.116006","65.045606","138.470627"
"ECB_00651","0.061389","0.999876","0.209274","16.438342","20.559048","27.156836","106.209364"
"ECB_00656","0.001486","3e-06","0.005587","3.841613","21.833324","27.343456","167.574967"
"ECB_00657","0","0.109478","1.019275","1.696862","13.046864","34.403079","204.151285"
"ECB_00659","0.74243","0.009204","0.983065","2.755664","3.101424","48.388628","159.514932"
"ECB_00669","0.631368","4.5e-05","0.760282","0.129674","24.008577","51.443314","146.269355"
"ECB_00670","1","0.199377","0.284301","0.691491","21.199879","21.200911","171.426085"
"ECB_00671","0.938384","0.183501","0.448509","6.782613","17.891263","48.016869","159.149092"
"ECB_00672","0.825079","0.076848","0.282874","8.000355","11.438988","29.063989","175.279367"
"ECB_00673","0.82875","0.03863","0.43339","15.804525","16.883587","16.906978","190.637367"
"ECB_00675","0.206091","0.341091","0.883993","10.426167","13.432745","23.999696","161.502186"
"ECB_00678","0.049741","2e-06","0.560412","5.251572","24.26307","55.376996","137.83453"
"ECB_00682","0.78888","0.016841","0.476264","23.074471","24.133095","64.454926","212.7782"
"ECB_00684","0.654827","0.065551","0.29936","8.000014","8.000036","8.000109","190.7537"
